"Id","Tag","Data","Antena","Tipo"
"159","E401499801700100014BEC0F","06/09/2023  06:53:33","CTI","Entrada"
"160","E28068900000400598D5F621","06/09/2023  14:29:55","CTI","Entrada"
"161","E28068900000400598D5F621","07/09/2023  07:20:15","CTI","Saída"
"162","E28068900000400598D5F621","07/09/2023  07:20:15","CTI","Entrada"
"163","E28068900000400598D5F621","07/09/2023  19:40:53","CTI","Entrada"
"164","AAA100002D9084C600001309","08/09/2023  15:12:56","CTI","Entrada"
"165","AAA1000031C000EB000000D2","08/09/2023  15:18:13","CTI","Entrada"
"166","AAA1000031C000EB000000D2","08/09/2023  15:28:48","CTI","Saída"
"167","AAA1000031C000EB000000D2","08/09/2023  16:13:00","CTI","Saída"
"168","E28068900000400598D5F621","09/09/2023  07:27:43","CTI","Saída"
"169","E28068900000400598D5F621","09/09/2023  07:27:53","CTI","Saída"
"170","790865051952700000898447","11/09/2023  18:54:36","CTI","Entrada"
"171","790865051952700000898447","11/09/2023  19:10:24","CTI","Saída"
"172","E2806890000040030B64AE2A","12/09/2023  07:30:35","CTI","Entrada"
"173","E2806890000040030B64E05B","12/09/2023  07:30:37","CTI","Entrada"
"174","E28068900000400598D7CDE2","12/09/2023  07:30:37","CTI","Entrada"
"175","E28068900000400598D77559","12/09/2023  07:30:38","CTI","Entrada"
"176","E28068900000400598D81922","12/09/2023  07:30:38","CTI","Entrada"
"177","E28068900000400598D824EF","12/09/2023  07:30:38","CTI","Entrada"
"178","E28068900000500598D72D24","12/09/2023  07:30:38","CTI","Entrada"
"179","E28068900000400598D81922","12/09/2023  12:49:36","CTI","Saída"
"180","E28068900000500598D72D24","12/09/2023  18:40:31","CTI","Saída"
"181","E28068900000500598D72D24","12/09/2023  18:40:31","CTI","Entrada"
"182","E28068900000500598D72D24","12/09/2023  18:40:31","CTI","Entrada"
"183","E28068900000400598D77559","12/09/2023  19:28:04","CTI","Saída"
"184","E28068900000400598D77559","12/09/2023  19:28:04","CTI","Entrada"
"185","E28068900000500598D72D24","12/09/2023  19:34:47","CTI","Entrada"
"186","E28068900000500598D64849","12/09/2023  19:35:46","CTI","Entrada"
"187","E28068900000500598D5B522","12/09/2023  19:42:18","CTI","Entrada"
"188","E2806890000040030B64E05B","12/09/2023  20:00:58","CTI","Saída"
"189","E2806890000040030B64E05B","12/09/2023  20:01:14","CTI","Entrada"
"190","E2806890000040030B64E05B","12/09/2023  20:33:39","CTI","Saída"
"191","E2806890000040030B64E05B","12/09/2023  20:34:44","CTI","Entrada"
"192","E2806890000040030B64E05B","12/09/2023  20:38:34","CTI","Saída"
"193","E28068900000500598D5B522","12/09/2023  21:03:31","CTI","Saída"
"194","E2806890000040030B64E05B","12/09/2023  21:03:54","CTI","Entrada"
"195","E28068900000500598D72D24","12/09/2023  21:04:35","CTI","Saída"
"196","E2806890000040030B64E05B","12/09/2023  21:11:54","CTI","Saída"
"197","E2806890000040030B64E05B","12/09/2023  21:12:46","CTI","Entrada"
"198","E28068900000500598D5B522","12/09/2023  21:58:12","CTI","Entrada"
"199","E28068900000500598D5B522","12/09/2023  21:58:47","CTI","Saída"
"200","E28068900000500598D5B522","12/09/2023  22:07:35","CTI","Entrada"
"201","E28068900000400598D77559","12/09/2023  23:03:30","CTI","Entrada"
"202","E2806890000040030B64E05B","12/09/2023  23:07:45","CTI","Saída"
"203","E2806890000040030B64E05B","12/09/2023  23:10:07","CTI","Entrada"
"204","E28068900000400598D77559","12/09/2023  23:14:38","CTI","Saída"
"205","E2806890000040030B64E05B","12/09/2023  23:27:58","CTI","Saída"
"206","E28068900000500598D72D24","12/09/2023  23:49:38","CTI","Entrada"
"207","E2806890000040030B64E05B","12/09/2023  23:56:42","CTI","Entrada"
"208","E2806890000040030B64E05B","12/09/2023  23:57:59","CTI","Saída"
"209","E2806890000040030B64E05B","12/09/2023  23:58:17","CTI","Entrada"
"210","E28068900000500598D72D24","13/09/2023  00:19:13","CTI","Saída"
"211","E2806890000040030B64E05B","13/09/2023  00:19:50","CTI","Saída"
"212","E2806890000040030B64E05B","13/09/2023  00:33:42","CTI","Entrada"
"213","E2806890000040030B64E05B","13/09/2023  00:35:00","CTI","Saída"
"214","E28068900000500598D72D24","13/09/2023  00:53:06","CTI","Entrada"
"215","E2806890000040030B64E05B","13/09/2023  00:53:07","CTI","Entrada"
"216","E2806890000040030B64E05B","13/09/2023  00:53:07","CTI","Saída"
"217","E2806890000040030B64E05B","13/09/2023  00:54:58","CTI","Saída"
"218","E2806890000040030B64E05B","13/09/2023  02:12:26","CTI","Entrada"
"219","E28068900000500598D5B522","13/09/2023  04:45:29","CTI","Saída"
"220","E28068900000500598D72D24","13/09/2023  05:16:21","CTI","Saída"
"221","E28068900000500598D72D24","13/09/2023  05:18:10","CTI","Entrada"
"222","E28068900000500598D72D24","13/09/2023  05:53:54","CTI","Saída"
"223","E28068900000500598D72D24","13/09/2023  05:54:06","CTI","Entrada"
"224","E28068900000500598D72D24","13/09/2023  06:02:54","CTI","Saída"
"225","E28068900000500598D72D24","13/09/2023  06:03:17","CTI","Entrada"
"226","E28068900000500598D5B522","13/09/2023  06:32:35","CTI","Entrada"
"227","E28068900000400598D77559","13/09/2023  08:41:03","CTI","Entrada"
"228","E28068900000400598D5F621","13/09/2023  10:22:28","CTI","Entrada"
"229","E28068900000400598D5F621","13/09/2023  10:23:16","CTI","Saída"
"230","E28068900000400598D5F621","13/09/2023  11:18:11","CTI","Entrada"
"231","E28068900000400598D5F621","13/09/2023  11:18:11","CTI","Saída"
"232","E28068900000400598D5F621","13/09/2023  12:17:14","CTI","Saída"
"233","E28068900000400598D5F621","13/09/2023  14:38:46","CTI","Entrada"
"234","E28068900000400598D5F621","13/09/2023  15:11:49","CTI","Saída"
"235","E28068900000400598D5F621","13/09/2023  15:34:49","CTI","Entrada"
"236","E28068900000400598D5F621","13/09/2023  16:25:52","CTI","Saída"
"237","E28068900000400598D5F621","13/09/2023  17:47:52","CTI","Entrada"
"238","E28068900000400598D824EF","13/09/2023  19:53:21","CTI","Saída"
"239","E28068900000400598D7CDE2","14/09/2023  07:15:13","CTI","Saída"
"240","E28068900000400598D7CDE2","14/09/2023  10:03:49","CTI","Entrada"
"241","E28068900000400598D7CDE2","14/09/2023  14:03:16","CTI","Saída"
"242","E28068900000400598D7CDE2","14/09/2023  14:26:57","CTI","Entrada"
"243","E28068900000400598D5F621","14/09/2023  14:38:45","CTI","Saída"
"244","E28068900000400598D824EF","14/09/2023  14:38:45","CTI","Entrada"
"245","E28068900000400598D7CDE2","14/09/2023  17:25:07","CTI","Saída"
"246","E2806890000040030B64E05B","14/09/2023  17:31:25","CTI","Saída"
"247","E2806890000040030B64E05B","14/09/2023  17:31:34","CTI","Entrada"
"248","E28068900000400598D77559","14/09/2023  17:31:34","CTI","Saída"
"249","E28068900000500598D72D24","14/09/2023  17:31:36","CTI","Saída"
"250","E28068900000500598D5B522","14/09/2023  17:31:36","CTI","Saída"
"251","E28068900000400598D7CDE2","14/09/2023  21:43:31","CTI","Entrada"
"252","E28068900000400598D77559","15/09/2023  08:39:15","CTI","Saída"
"253","E2806890000040030B64AE2A","15/09/2023  08:58:39","CTI","Saída"
"254","E2806890000040030B64AE2A","15/09/2023  08:58:53","CTI","Entrada"
"255","E28068900000400598D77559","15/09/2023  09:06:22","CTI","Entrada"
"256","E28068900000400598D77559","15/09/2023  09:39:44","CTI","Saída"
"257","E2806890000040030B64E05B","15/09/2023  10:14:52","CTI","Saída"
"258","E2806890000040030B64E05B","15/09/2023  10:14:52","CTI","Entrada"
"259","E2806890000040030B64E05B","15/09/2023  10:18:31","CTI","Entrada"
"260","E28068900000400598D77559","15/09/2023  10:19:53","CTI","Entrada"
"261","E28068900000400598D77559","15/09/2023  10:22:21","CTI","Saída"
"262","E2806890000040030B64AE2A","15/09/2023  11:25:40","CTI","Saída"
"263","E2806890000040030B64AE2A","15/09/2023  11:32:58","CTI","Entrada"
"264","E2806890000040030B64AE2A","15/09/2023  13:56:33","CTI","Saída"
"265","E2806890000040030B64E05B","15/09/2023  14:09:01","CTI","Saída"
"266","E28068900000400598D77559","15/09/2023  14:09:02","CTI","Entrada"
"267","E2806890000040030B64AE2A","15/09/2023  14:09:08","CTI","Entrada"
"268","E2806890000040030B64E05B","15/09/2023  14:12:08","CTI","Entrada"
"269","E2806890000040030B64AE2A","15/09/2023  14:12:29","CTI","Saída"
"270","E2806890000040030B64AE2A","15/09/2023  14:12:53","CTI","Entrada"
"271","E2806890000040030B64AE2A","15/09/2023  14:15:29","CTI","Saída"
"272","E28068900000400598D7CDE2","15/09/2023  15:17:01","CTI","Saída"
"273","E28068900000400598D7CDE2","15/09/2023  15:17:01","CTI","Entrada"
"274","E2806890000040030B64AE2A","15/09/2023  15:17:16","CTI","Entrada"
"275","E2806890000040030B64AE2A","15/09/2023  15:27:10","CTI","Saída"
"276","E2806890000040030B64AE2A","15/09/2023  15:57:23","CTI","Entrada"
"277","E2806890000040030B64AE2A","15/09/2023  17:10:52","CTI","Saída"
"278","E2806890000040030B64AE2A","15/09/2023  18:07:00","CTI","Entrada"
"279","E28068900000500598D64849","15/09/2023  19:39:33","CTI","Saída"
"280","E28068900000500598D64849","15/09/2023  19:39:33","CTI","Entrada"
"281","E28068900000500598D5B522","15/09/2023  22:16:05","CTI","Entrada"
"282","E28068900000500598D5B522","15/09/2023  22:50:46","CTI","Saída"
"283","E28068900000500598D5B522","16/09/2023  00:18:26","CTI","Entrada"
"284","E28068900000400598D808F0","18/09/2023  10:30:10","CTI","Entrada"
"285","E28068900000400598D808F0","18/09/2023  10:33:32","CTI","Saída"
"300","E28068900000400598D808F0","18/09/2023  10:44:20","CTI","Entrada"
"301","E28068900000400598D808F0","18/09/2023  10:52:27","CTI","Saída"
"302","E28068900000400598D808F0","18/09/2023  10:52:27","CTI","Entrada"
"303","E28068900000400598D808F0","18/09/2023  10:54:03","CTI","Entrada"
"304","300F4F573AD001C0C46C23BE","18/09/2023  14:11:07","CTI","Entrada"
"305","E2806890000040030B64E05B","18/09/2023  22:56:35","CTI","Saída"
"306","E28068900000500598D72D24","18/09/2023  23:00:12","CTI","Entrada"
"307","E2806890000040030B64E05B","19/09/2023  04:00:59","CTI","Entrada"
"308","E2806890000040030B64E05B","19/09/2023  05:54:00","CTI","Saída"
"309","E28068900000500598D72D24","19/09/2023  06:40:07","CTI","Saída"
"310","E2806890000040030B64E05B","19/09/2023  09:32:43","CTI","Entrada"
"311","E28068900000400598D808F0","19/09/2023  10:32:30","CTI","Saída"
"312","E28068900000400598D8192B","19/09/2023  10:32:40","CTI","Entrada"
"313","E28068900000400598D8192B","19/09/2023  10:37:02","CTI","Saída"
"314","E28068900000400598D8192B","19/09/2023  10:40:17","CTI","Entrada"
"315","E28068900000400598D808F0","19/09/2023  10:40:24","CTI","Entrada"
"316","E28068900000400598D8192B","19/09/2023  10:40:37","CTI","Saída"
"317","E28068900000400598D61106","19/09/2023  10:41:00","CTI","Entrada"
"318","E28068900000400598D808F0","19/09/2023  10:41:01","CTI","Saída"
"319","E28068900000500598D7319E","19/09/2023  10:41:01","CTI","Entrada"
"320","E2806890000050030B649D63","19/09/2023  10:41:01","CTI","Entrada"
"321","E28068900000500598D788D7","19/09/2023  10:41:01","CTI","Entrada"
"322","E2806890000040030B64CE64","19/09/2023  10:41:08","CTI","Entrada"
"323","E28068900000500598D5D1DA","19/09/2023  10:41:28","CTI","Entrada"
"324","E28068900000400598D808F0","19/09/2023  10:41:41","CTI","Entrada"
"325","E28068900000400598D8192B","19/09/2023  10:59:27","CTI","Entrada"
"326","E28068900000400598D8192B","19/09/2023  11:00:17","CTI","Saída"
"327","E28068900000500598D75060","19/09/2023  11:00:36","CTI","Entrada"
"328","E2806890000040030B64CE64","19/09/2023  11:01:16","CTI","Saída"
"329","E28068900000500598D75060","19/09/2023  11:01:17","CTI","Saída"
"330","E28068900000400598D8192B","19/09/2023  11:01:18","CTI","Entrada"
"331","E28068900000400598D61106","19/09/2023  11:01:18","CTI","Saída"
"332","E28068900000400598D808F0","19/09/2023  11:01:19","CTI","Saída"
"333","E28068900000400598D808F0","19/09/2023  11:01:57","CTI","Entrada"
"334","E2806890000050030B649D63","19/09/2023  11:02:11","CTI","Entrada"
"335","E28068900000400598D8192B","19/09/2023  11:02:11","CTI","Saída"
